frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
424,35.3333,29.4573,26.647,12.4842,49.361,12.7099,0.0778,0.0,0.2496,very dark
426,35.5,29.4669,26.655,12.4842,49.361,12.7075,0.0763,0.0,0.2497,very dark
428,35.6667,29.4695,26.69,12.4842,49.361,12.7052,0.076,0.0,0.2497,very dark
430,35.8333,29.4711,26.655,12.4842,49.361,12.7055,0.0754,0.0,0.2498,very dark
432,36.0,29.4811,26.8636,12.4842,49.361,12.7109,0.0772,0.0,0.2498,very dark
434,36.1667,29.4585,26.714,12.408,48.7346,12.7127,0.0741,0.0,0.2496,very dark
436,36.3333,29.4505,26.714,12.4388,48.7376,12.7088,0.0717,0.0,0.2496,very dark
438,36.5,29.4428,26.714,12.4842,48.71,12.6932,0.0723,0.0,0.2495,very dark
440,36.6667,29.4725,26.8584,12.4842,48.8636,12.6643,0.0609,0.0,0.2498,very dark
442,36.8333,29.4853,26.8584,12.4842,49.2206,12.6579,0.0624,0.0,0.2499,very dark
444,37.0,29.5437,26.8636,12.4842,49.361,12.6314,0.0687,0.0,0.2504,very dark
446,37.1667,29.5309,26.8636,12.4842,49.361,12.6332,0.0687,0.0,0.2503,very dark
448,37.3333,29.5362,26.8636,12.4842,49.361,12.6296,0.0687,0.0,0.2503,very dark
450,37.5,29.5343,26.8636,12.4842,49.361,12.6263,0.0699,0.0,0.2503,very dark
452,37.6667,29.5307,26.8636,12.4842,49.355,12.628,0.0624,0.0,0.2503,very dark
454,37.8333,29.5304,26.8636,12.4842,49.353,12.6287,0.0651,0.0,0.2503,very dark
456,38.0,29.5271,26.8636,12.4842,49.2206,12.6439,0.0714,0.0,0.2502,very dark
458,38.1667,29.5161,26.8636,12.6194,48.9542,12.6389,0.0527,0.0,0.2501,very dark
460,38.3333,29.5151,26.7782,12.6194,48.9266,12.637,0.0521,0.0,0.2501,very dark
462,38.5,29.5138,26.7662,12.6194,48.9542,12.6481,0.0518,0.0,0.2501,very dark
464,38.6667,29.511,26.7662,12.6194,48.9542,12.6406,0.054,0.0,0.2501,very dark
466,38.8333,29.5129,26.7662,12.6194,48.9266,12.6471,0.0527,0.0,0.2501,very dark
468,39.0,29.5222,26.8636,12.4842,49.361,12.6559,0.0856,0.0,0.2502,very dark
470,39.1667,29.5104,26.8636,12.4842,49.361,12.6517,0.0871,0.0,0.2501,very dark
472,39.3333,29.5111,26.8636,12.4842,49.361,12.6557,0.0919,0.0,0.2501,very dark
474,39.5,29.5087,26.8636,12.4842,49.361,12.6539,0.0916,0.0,0.2501,very dark
476,39.6667,29.499,26.8636,12.4842,49.361,12.6547,0.0937,0.0,0.25,very dark
478,39.8333,29.4999,26.8636,12.4842,49.361,12.6581,0.0862,0.0,0.25,very dark
480,40.0,29.5154,26.8636,12.4842,49.361,12.6679,0.0814,0.0,0.2501,very dark
482,40.1667,29.4795,26.714,12.4842,49.361,12.6739,0.0829,0.0,0.2498,very dark
484,40.3333,29.477,26.714,12.4842,49.361,12.6728,0.0829,0.0,0.2498,very dark
486,40.5,29.4781,26.714,12.4842,49.361,12.6737,0.0829,0.0,0.2498,very dark
488,40.6667,29.484,26.714,12.4842,49.361,12.674,0.085,0.0,0.2499,very dark
490,40.8333,29.481,26.8636,12.4842,49.361,12.6884,0.0871,0.0,0.2498,very dark
492,41.0,29.5056,26.9014,12.4842,49.0906,12.7084,0.069,0.0,0.25,very dark
494,41.1667,29.488,26.8636,12.4842,49.2206,12.7135,0.0603,0.0,0.2499,very dark
496,41.3333,29.4862,26.8636,12.4842,49.235,12.7149,0.0588,0.0,0.2499,very dark
498,41.5,29.4819,26.8636,12.4842,49.235,12.7143,0.0555,0.0,0.2498,very dark
500,41.6667,29.4853,26.8636,12.4842,49.353,12.7091,0.054,0.0,0.2499,very dark
502,41.8333,29.4905,26.8636,12.4842,49.353,12.7134,0.0537,0.0,0.2499,very dark
504,42.0,29.4968,26.655,12.4842,49.361,12.7098,0.0729,0.0,0.25,very dark
506,42.1667,29.4856,26.655,12.4842,49.361,12.704,0.0636,0.0,0.2499,very dark
508,42.3333,29.4801,26.655,12.4842,49.361,12.7007,0.0702,0.0,0.2498,very dark
510,42.5,29.489,26.7662,12.4842,49.361,12.7052,0.0702,0.0,0.2499,very dark
512,42.6667,29.4897,26.8636,12.4842,49.361,12.7089,0.0738,0.0,0.2499,very dark
514,42.8333,29.4871,26.8636,12.4842,49.361,12.7081,0.0717,0.0,0.2499,very dark
516,43.0,29.4792,26.8636,12.4842,49.0,12.7144,0.0711,0.0,0.2498,very dark
518,43.1667,29.4319,26.714,12.4842,49.0,12.7129,0.0684,0.0,0.2494,very dark
520,43.3333,29.4221,26.714,12.408,48.8636,12.7253,0.06,0.0,0.2493,very dark
522,43.5,30.3795,28.7822,12.408,49.361,14.0134,0.0573,0.0,0.2575,very dark
524,43.6667,30.8809,30.4974,12.4842,49.361,13.6945,0.0567,0.0,0.2617,very dark
526,43.8333,30.6729,30.0,12.6194,49.361,13.7445,0.0567,0.0,0.2599,very dark
528,44.0,30.4082,28.7822,12.6194,49.361,13.8041,0.0732,0.0003,0.2577,very dark
530,44.1667,30.1132,28.2166,12.118,49.361,13.8171,0.0732,0.0,0.2552,very dark
532,44.3333,29.7882,27.71,11.9146,49.0872,13.8818,0.0968,0.0,0.2524,very dark
534,44.5,29.2258,26.4974,11.9146,48.4494,13.911,0.0687,0.0,0.2477,very dark
536,44.6667,29.2054,26.4974,11.9146,48.6488,14.0406,0.0793,0.0,0.2475,very dark
538,44.8333,29.1973,26.408,12.118,49.235,13.9624,0.0766,0.0,0.2474,very dark
540,45.0,29.2466,26.408,12.118,49.361,14.2012,0.0735,0.0,0.2479,very dark
542,45.1667,29.9017,27.2206,12.118,49.361,15.8331,0.069,0.0,0.2534,very dark
544,45.3333,29.322,26.408,12.1312,49.361,14.1931,0.0723,0.0,0.2485,very dark
546,45.5,29.4765,26.5106,12.1352,49.361,14.2652,0.0681,0.0,0.2498,very dark
548,45.6667,29.5851,26.9828,12.2756,49.361,14.2742,0.0585,0.0,0.2507,very dark
550,45.8333,29.2222,26.4974,12.361,49.361,12.7836,0.0564,0.0,0.2476,very dark
552,46.0,30.0327,27.5106,12.9828,49.361,14.0966,0.0853,0.0,0.2545,very dark
554,46.1667,30.1765,27.71,12.71,49.361,14.1474,0.0817,0.0,0.2557,very dark
556,46.3333,29.7458,27.2166,12.6338,49.361,12.7086,0.0313,0.0,0.2521,very dark
558,46.5,29.7335,27.1312,12.6286,49.361,12.7511,0.0362,0.0,0.252,very dark
560,46.6667,29.74,27.0458,12.408,49.361,12.7608,0.0304,0.0,0.252,very dark
562,46.8333,29.7547,27.0458,12.4172,49.361,12.7632,0.0356,0.0,0.2522,very dark
564,47.0,29.8374,27.2166,12.4842,49.361,12.7747,0.057,0.0,0.2529,very dark
566,47.1667,29.8295,27.2166,12.4842,49.361,12.7747,0.0518,0.0,0.2528,very dark
