frame,time_s,mean_luma,median_luma,p5_luma,p95_luma,rms_contrast,clip_low_pct,clip_high_pct,exposure_index,classification
492,41.0,105.6997,97.3916,48.555,172.456,42.7206,0.0,0.0,0.8958,well-exposed
494,41.1667,105.6688,97.4118,48.4788,172.5478,42.7404,0.0,0.0,0.8955,well-exposed
496,41.3333,105.6009,97.2176,48.3384,172.5438,42.7809,0.0,0.0,0.8949,well-exposed
498,41.5,105.6502,97.4158,48.3384,171.8904,42.731,0.0,0.0,0.8953,well-exposed
500,41.6667,105.6809,97.3528,48.3384,172.7248,42.7682,0.0,0.0,0.8956,well-exposed
502,41.8333,105.6785,97.3506,48.3384,172.393,42.7631,0.0,0.0,0.8956,well-exposed
504,42.0,105.6455,97.3488,48.3344,172.456,42.7523,0.0,0.0,0.8953,well-exposed
506,42.1667,105.679,97.3528,48.3384,172.3946,42.752,0.0,0.0,0.8956,well-exposed
508,42.3333,105.687,97.3506,48.3384,172.6188,42.7471,0.0,0.0,0.8957,well-exposed
510,42.5,105.6388,97.3488,48.3384,172.225,42.7645,0.0,0.0,0.8952,well-exposed
512,42.6667,105.6819,97.3506,48.3438,172.7248,42.7365,0.0,0.0,0.8956,well-exposed
514,42.8333,105.6588,97.3488,48.2822,172.7248,42.7792,0.0,0.0,0.8954,well-exposed
516,43.0,105.6119,97.3485,48.2296,172.201,42.7659,0.0,0.0,0.895,well-exposed
518,43.1667,105.5524,97.3488,48.3344,172.2474,42.722,0.0,0.0,0.8945,well-exposed
520,43.3333,105.532,97.2268,48.3384,172.7248,42.775,0.0,0.0,0.8943,well-exposed
522,43.5,106.8285,102.1804,48.4788,172.7248,42.2555,0.0,0.0,0.9053,well-exposed
524,43.6667,108.3744,106.5076,48.6028,172.5591,41.4234,0.0,0.0,0.9184,well-exposed
526,43.8333,107.8333,104.9351,48.5179,171.8579,41.5444,0.0,0.0,0.9138,well-exposed
528,44.0,107.1607,103.4514,48.5804,171.0096,41.3913,0.0,0.0,0.9081,well-exposed
530,44.1667,105.9909,101.5666,46.5562,170.0096,41.5075,0.0,0.0,0.8982,well-exposed
532,44.3333,104.8337,99.8434,46.0656,169.8652,41.6937,0.0,0.0,0.8884,well-exposed
534,44.5,102.7853,95.1282,46.0837,168.5804,41.8398,0.0,0.0,0.8711,well-exposed
536,44.6667,102.8545,95.3506,46.3476,169.3626,42.2435,0.0,0.0,0.8716,well-exposed
538,44.8333,103.1333,95.2156,47.0108,170.2904,42.3588,0.0,0.0,0.874,well-exposed
540,45.0,103.4218,94.9196,47.0788,171.0096,42.506,0.0,0.0,0.8765,well-exposed
542,45.1667,104.3504,95.9162,47.7718,172.7248,42.8974,0.0,0.0,0.8843,well-exposed
544,45.3333,104.209,95.617,47.9814,172.7248,42.7952,0.0,0.0,0.8831,well-exposed
